top,bottom,outer,weather,rating
shirt,trousers,sweater,clear,1
shirt,trousers,hoodie,clear,1
dress,none,blazer,clear,1
shirt,skirt,none,snow,1
shirt,skirt,none,snow,1
dress,shorts,none,clear,1
shirt,jeans,none,snow,1
dress,cargo,none,rain,1
dress,legging,coat,clear,1
shirt,legging,jacket,clear,1
dress,cargo,sweater,clear,1
dress,cargo,blazer,clear,1
dress,cargo,sweater,clear,1
shirt,legging,sweater,clear,1
shirt,trousers,sweater,clear,1
dress,trousers,coat,clear,1
dress,legging,sweater,clear,1
dress,jogger,blazer,clear,1
t-shirt,trousers,jacket,clear,1
t-shirt,legging,none,snow,1
dress,cargo,hoodie,clear,1
dress,jeans,none,rain,1
t-shirt,legging,none,rain,1
t-shirt,none,blazer,clear,1
shirt,trousers,none,clear,1
t-shirt,skirt,none,snow,1
dress,jeans,none,snow,1
t-shirt,shorts,none,snow,1
t-shirt,jogger,none,snow,1
dress,shorts,none,snow,1
dress,cargo,hoodie,clear,1
t-shirt,trousers,none,rain,1
t-shirt,cargo,none,rain,1
t-shirt,legging,none,rain,1
t-shirt,cargo,blazer,clear,1
t-shirt,skirt,none,rain,1
t-shirt,none,none,snow,1
t-shirt,skirt,hoodie,clear,1
shirt,jeans,none,snow,1
t-shirt,none,blazer,clear,1
t-shirt,cargo,none,rain,1
dress,jeans,none,rain,1
dress,legging,coat,clear,1
shirt,skirt,none,snow,1
dress,skirt,none,rain,1
dress,jeans,jacket,clear,1
dress,trousers,none,snow,1
dress,legging,coat,clear,1
dress,skirt,sweater,clear,1
shirt,trousers,hoodie,clear,1
shirt,shorts,hoodie,clear,1
shirt,trousers,none,rain,1
shirt,trousers,sweater,clear,1
shirt,cargo,none,rain,1
t-shirt,trousers,jacket,clear,1
t-shirt,jeans,none,snow,1
dress,jeans,none,rain,1
t-shirt,none,none,clear,1
t-shirt,cargo,none,rain,1
shirt,trousers,coat,clear,1
shirt,shorts,jacket,clear,1
dress,jeans,coat,clear,1
shirt,jeans,coat,clear,1
t-shirt,skirt,hoodie,clear,1
shirt,skirt,none,clear,1
shirt,skirt,none,snow,1
shirt,skirt,none,rain,1
dress,cargo,hoodie,clear,1
dress,skirt,none,snow,1
dress,shorts,sweater,clear,1
dress,jeans,none,rain,1
t-shirt,jeans,none,clear,1
t-shirt,jogger,none,snow,1
dress,shorts,none,clear,1
dress,cargo,coat,clear,1
shirt,shorts,none,rain,1
t-shirt,shorts,none,snow,1
shirt,none,blazer,clear,1
shirt,jogger,blazer,clear,1
shirt,skirt,hoodie,clear,1
dress,jogger,none,snow,1
dress,jeans,none,snow,1
shirt,legging,jacket,clear,1
dress,trousers,none,snow,1
dress,jogger,hoodie,clear,1
shirt,jogger,hoodie,clear,1
t-shirt,trousers,none,rain,1
dress,jogger,sweater,clear,1
t-shirt,cargo,none,rain,1
shirt,shorts,blazer,clear,1
dress,shorts,sweater,clear,1
t-shirt,jogger,none,clear,1
t-shirt,none,none,clear,1
t-shirt,jeans,jacket,clear,1
t-shirt,shorts,none,snow,1
shirt,cargo,none,snow,1
shirt,trousers,none,rain,1
t-shirt,trousers,hoodie,clear,1
shirt,none,none,snow,1
shirt,jogger,jacket,clear,1
shirt,jogger,sweater,clear,1
dress,jeans,none,clear,1
t-shirt,legging,none,rain,1
shirt,jogger,jacket,clear,1
shirt,legging,none,rain,1
shirt,jeans,none,snow,1
dress,shorts,none,snow,1
t-shirt,none,blazer,clear,1
t-shirt,trousers,none,rain,1
dress,jogger,jacket,clear,1
t-shirt,shorts,jacket,clear,1
t-shirt,jogger,none,rain,1
shirt,skirt,hoodie,clear,1
t-shirt,cargo,none,rain,1
t-shirt,skirt,none,snow,1
dress,legging,coat,clear,1
shirt,jeans,coat,clear,1
t-shirt,jogger,sweater,clear,1
t-shirt,cargo,none,rain,1
t-shirt,legging,coat,clear,1
t-shirt,shorts,none,clear,1
dress,trousers,none,snow,1
t-shirt,none,blazer,clear,1
dress,jogger,blazer,clear,1
shirt,trousers,hoodie,clear,1
dress,cargo,none,clear,1
shirt,shorts,jacket,clear,1
shirt,none,none,clear,1
dress,jeans,none,snow,1
t-shirt,none,jacket,clear,1
t-shirt,cargo,blazer,clear,1
shirt,legging,hoodie,clear,1
dress,jeans,none,rain,1
shirt,jeans,none,snow,1
t-shirt,none,blazer,clear,1
shirt,jogger,jacket,clear,1
shirt,shorts,sweater,clear,1
t-shirt,trousers,none,rain,1
shirt,jeans,none,snow,1
shirt,legging,hoodie,clear,1
t-shirt,legging,none,rain,1
shirt,skirt,none,rain,1
t-shirt,legging,none,rain,1
shirt,legging,none,rain,1
shirt,trousers,none,rain,1
dress,skirt,none,snow,1
t-shirt,none,sweater,clear,1
dress,shorts,none,clear,1
t-shirt,legging,none,clear,1
dress,skirt,none,rain,1
shirt,none,none,snow,1
t-shirt,skirt,none,snow,1
shirt,skirt,none,rain,1
t-shirt,none,sweater,clear,1
shirt,shorts,blazer,clear,1
dress,jeans,none,rain,1
shirt,none,none,snow,1
t-shirt,trousers,none,rain,1
t-shirt,none,blazer,clear,1
shirt,none,none,snow,1
t-shirt,cargo,none,rain,1
shirt,cargo,none,clear,1
dress,jeans,none,rain,1
dress,jogger,none,clear,1
shirt,jeans,jacket,clear,1
shirt,shorts,none,rain,1
dress,cargo,none,snow,1
dress,cargo,blazer,clear,1
t-shirt,legging,none,snow,1
t-shirt,shorts,sweater,clear,1
t-shirt,jeans,jacket,clear,1
t-shirt,jeans,none,snow,1
dress,jogger,jacket,clear,1
t-shirt,none,coat,clear,1
shirt,trousers,none,rain,1
dress,skirt,none,rain,1
dress,skirt,none,rain,1
dress,trousers,none,snow,1
shirt,trousers,none,rain,1
t-shirt,trousers,none,snow,1
t-shirt,legging,none,rain,1
dress,jogger,none,snow,1
shirt,trousers,jacket,clear,1
t-shirt,shorts,none,snow,1
t-shirt,jogger,none,rain,1
shirt,trousers,jacket,clear,1
t-shirt,legging,hoodie,clear,1
dress,cargo,none,snow,1
shirt,jogger,sweater,clear,1
shirt,shorts,jacket,clear,1
dress,none,blazer,clear,1
shirt,none,none,rain,1
dress,legging,none,rain,1
t-shirt,cargo,hoodie,clear,1
t-shirt,cargo,blazer,clear,1
shirt,jeans,none,snow,1
shirt,none,blazer,clear,1
dress,legging,coat,clear,1
dress,shorts,none,clear,1
t-shirt,none,blazer,clear,1
shirt,shorts,none,rain,1
dress,jeans,coat,clear,1
shirt,jogger,hoodie,clear,1
shirt,jeans,none,clear,1
dress,skirt,none,rain,1
t-shirt,jeans,none,snow,1
t-shirt,cargo,hoodie,clear,1
t-shirt,jogger,none,snow,1
shirt,none,none,rain,1
shirt,skirt,none,clear,1
dress,shorts,hoodie,clear,1
dress,legging,blazer,clear,1
shirt,none,none,rain,1
shirt,legging,blazer,clear,1
shirt,none,none,snow,1
shirt,none,blazer,clear,1
t-shirt,none,sweater,clear,1
shirt,skirt,none,snow,1
shirt,jeans,none,snow,1
dress,trousers,none,rain,1
dress,jogger,none,snow,1
dress,jeans,none,rain,1
t-shirt,shorts,none,snow,1
shirt,jogger,jacket,clear,1
shirt,legging,hoodie,clear,1
dress,legging,coat,clear,1
dress,trousers,none,snow,1
shirt,cargo,none,snow,1
dress,jeans,coat,clear,1
shirt,jogger,jacket,clear,1
t-shirt,jogger,none,rain,1
dress,skirt,none,snow,1
dress,jeans,sweater,clear,1
dress,jeans,jacket,clear,1
shirt,jogger,none,snow,1
dress,trousers,none,snow,1
dress,jeans,none,rain,1
t-shirt,legging,coat,clear,1
t-shirt,cargo,sweater,clear,1
dress,cargo,blazer,clear,1
dress,jogger,none,snow,1
shirt,cargo,none,rain,1
shirt,legging,none,clear,1
dress,cargo,blazer,clear,1
dress,trousers,none,snow,1
shirt,jeans,none,snow,1
shirt,trousers,none,clear,1
shirt,skirt,hoodie,clear,1
shirt,trousers,none,rain,1
t-shirt,skirt,none,snow,1
t-shirt,skirt,none,rain,1
shirt,trousers,coat,clear,1
t-shirt,legging,blazer,clear,1
t-shirt,none,coat,clear,1
dress,shorts,sweater,clear,1
t-shirt,legging,coat,clear,1
dress,cargo,sweater,clear,1
shirt,none,none,snow,1
shirt,none,none,clear,1
t-shirt,legging,none,rain,1
t-shirt,legging,blazer,clear,1
dress,jogger,jacket,clear,1
shirt,none,none,rain,1
shirt,cargo,blazer,clear,1
t-shirt,jeans,hoodie,clear,1
dress,skirt,none,rain,1
t-shirt,jogger,none,rain,1
shirt,cargo,jacket,clear,1
shirt,skirt,hoodie,clear,1
dress,shorts,blazer,clear,1
dress,shorts,hoodie,clear,1
shirt,none,none,snow,1
dress,skirt,none,snow,1
dress,jogger,blazer,clear,1
dress,cargo,coat,clear,1
t-shirt,legging,blazer,clear,1
t-shirt,trousers,none,snow,1
shirt,jeans,none,snow,1
dress,jogger,blazer,clear,1
t-shirt,cargo,none,rain,1
dress,jogger,hoodie,clear,1
t-shirt,shorts,none,clear,1
shirt,jogger,hoodie,clear,1
shirt,shorts,hoodie,clear,1
dress,legging,coat,clear,1
dress,trousers,sweater,clear,1
t-shirt,cargo,none,rain,1
dress,skirt,none,rain,1
dress,cargo,coat,clear,1
shirt,jeans,jacket,clear,1
dress,cargo,coat,clear,1
shirt,legging,none,snow,1
t-shirt,legging,none,rain,1
shirt,jeans,none,clear,1
t-shirt,trousers,hoodie,clear,1
dress,skirt,none,rain,1
t-shirt,skirt,none,snow,1
t-shirt,cargo,hoodie,clear,1
shirt,jeans,none,snow,1
t-shirt,trousers,none,rain,1
shirt,shorts,none,rain,1
t-shirt,legging,none,rain,1
shirt,skirt,none,snow,1
shirt,jeans,none,snow,1
shirt,jogger,blazer,clear,1
t-shirt,shorts,none,clear,1
t-shirt,none,none,clear,1
t-shirt,cargo,none,rain,1
shirt,jogger,jacket,clear,1
dress,skirt,none,rain,1
shirt,jeans,none,clear,1
dress,jeans,none,snow,1
shirt,skirt,none,rain,1
dress,skirt,none,snow,1
t-shirt,legging,coat,clear,1
t-shirt,cargo,hoodie,clear,1
shirt,trousers,jacket,clear,1
t-shirt,legging,blazer,clear,1
dress,trousers,none,snow,1
dress,cargo,none,snow,1
t-shirt,legging,none,clear,1
shirt,jeans,none,snow,1
t-shirt,trousers,none,clear,1
dress,none,none,rain,1
t-shirt,cargo,blazer,clear,1
dress,jogger,jacket,clear,1
shirt,legging,none,rain,1
t-shirt,trousers,none,rain,1
shirt,jeans,none,snow,1
t-shirt,none,none,rain,1
t-shirt,cargo,none,rain,1
t-shirt,legging,none,rain,1
shirt,trousers,none,rain,1
dress,cargo,hoodie,clear,1
shirt,cargo,none,rain,1
t-shirt,none,coat,clear,1
t-shirt,skirt,none,snow,1
t-shirt,trousers,none,snow,1
shirt,shorts,none,clear,1
shirt,none,none,snow,1
t-shirt,skirt,hoodie,clear,1
dress,jogger,jacket,clear,1
dress,cargo,blazer,clear,1
shirt,jeans,none,clear,1
dress,trousers,none,snow,1
shirt,none,blazer,clear,1
t-shirt,legging,none,clear,1
dress,jogger,hoodie,clear,1
shirt,none,none,rain,1
shirt,none,blazer,clear,1
dress,skirt,none,rain,1
dress,cargo,none,snow,1
dress,legging,coat,clear,1
dress,jeans,none,rain,1
t-shirt,none,coat,clear,1
t-shirt,cargo,sweater,clear,1
t-shirt,cargo,none,rain,1
dress,skirt,none,rain,1
shirt,cargo,none,snow,1
t-shirt,legging,none,rain,1
dress,shorts,hoodie,clear,1
dress,none,none,rain,1
dress,jogger,jacket,clear,1
dress,jeans,sweater,clear,1
t-shirt,trousers,none,snow,1
t-shirt,shorts,none,clear,1
dress,jeans,none,snow,1
dress,cargo,coat,clear,1
t-shirt,shorts,none,rain,1
dress,trousers,none,rain,1
dress,jogger,none,rain,1
dress,trousers,none,snow,1
shirt,skirt,jacket,clear,1
dress,skirt,none,snow,1
t-shirt,none,blazer,clear,1
shirt,none,none,snow,1
shirt,none,none,snow,1
shirt,trousers,hoodie,clear,1
t-shirt,cargo,none,rain,1
t-shirt,jeans,none,snow,1
t-shirt,none,none,clear,1
shirt,none,none,snow,1
t-shirt,legging,none,clear,1
shirt,shorts,none,clear,1
dress,cargo,none,rain,1
dress,trousers,none,rain,1
shirt,trousers,none,rain,1
t-shirt,skirt,none,snow,1
t-shirt,none,coat,clear,1
dress,none,blazer,clear,1
shirt,jogger,jacket,clear,1
t-shirt,cargo,blazer,clear,1
dress,skirt,none,rain,1
dress,shorts,none,snow,1
dress,skirt,none,rain,1
dress,legging,none,rain,1
t-shirt,cargo,none,rain,1
shirt,trousers,none,snow,1
dress,jeans,none,rain,1
dress,shorts,none,snow,1
dress,jeans,none,snow,1
t-shirt,cargo,none,rain,1
t-shirt,cargo,sweater,clear,1
shirt,shorts,coat,clear,1
shirt,jeans,jacket,clear,1
shirt,skirt,none,clear,1
shirt,legging,hoodie,clear,1
dress,jogger,none,rain,1
dress,jeans,none,clear,1
shirt,cargo,none,snow,1
t-shirt,shorts,none,rain,1
dress,jogger,blazer,clear,1
shirt,legging,none,clear,1
shirt,trousers,none,rain,1
t-shirt,none,none,rain,1
t-shirt,cargo,hoodie,clear,1
dress,legging,none,rain,1
dress,jeans,coat,clear,1
t-shirt,cargo,hoodie,clear,1
dress,trousers,none,snow,1
dress,skirt,none,snow,1
shirt,jeans,jacket,clear,1
dress,jogger,blazer,clear,1
dress,jogger,blazer,clear,1
t-shirt,skirt,hoodie,clear,1
t-shirt,jogger,none,rain,1
shirt,jeans,jacket,clear,1
dress,shorts,hoodie,clear,1
t-shirt,legging,coat,clear,1
dress,jeans,none,snow,1
shirt,none,none,snow,1
shirt,skirt,hoodie,clear,1
dress,shorts,sweater,clear,1
dress,jeans,none,rain,1
t-shirt,shorts,none,clear,1
t-shirt,cargo,sweater,clear,1
shirt,skirt,none,snow,1
dress,skirt,none,rain,1
t-shirt,cargo,none,rain,1
dress,jogger,none,rain,1
t-shirt,trousers,none,snow,1
shirt,trousers,none,rain,1
shirt,none,hoodie,clear,1
dress,legging,none,rain,1
t-shirt,legging,none,rain,1
shirt,skirt,jacket,clear,1
dress,jogger,none,clear,1
dress,trousers,none,snow,1
shirt,trousers,none,rain,1
dress,trousers,none,snow,1
dress,cargo,none,clear,1
dress,shorts,hoodie,clear,1
t-shirt,jeans,none,clear,1
shirt,none,none,snow,1
dress,skirt,none,snow,1
shirt,skirt,none,snow,1
shirt,trousers,none,rain,1
shirt,shorts,blazer,clear,1
shirt,trousers,none,rain,1
shirt,jeans,coat,clear,1
shirt,trousers,none,rain,1
dress,jogger,none,clear,1
shirt,jeans,none,snow,1
t-shirt,legging,none,clear,1
t-shirt,trousers,none,snow,1
dress,jeans,none,rain,1
t-shirt,none,blazer,clear,1
shirt,jeans,none,snow,1
shirt,legging,blazer,clear,1
t-shirt,skirt,none,rain,1
t-shirt,legging,none,rain,1
t-shirt,cargo,hoodie,clear,1
t-shirt,legging,none,rain,1
dress,trousers,none,snow,1
dress,legging,none,rain,1
shirt,jeans,none,snow,1
dress,trousers,none,snow,1
t-shirt,cargo,blazer,clear,1
t-shirt,skirt,hoodie,clear,1
t-shirt,legging,none,clear,1
dress,shorts,hoodie,clear,1
dress,skirt,none,snow,1
shirt,skirt,none,clear,1
t-shirt,jeans,none,rain,1
shirt,shorts,sweater,clear,1
dress,jogger,blazer,clear,1
dress,trousers,none,snow,1
dress,jogger,jacket,clear,1
t-shirt,jogger,none,snow,1
t-shirt,trousers,none,rain,1
dress,trousers,none,snow,1
dress,trousers,coat,clear,1
t-shirt,jogger,jacket,clear,1
shirt,skirt,none,snow,1
dress,jeans,sweater,clear,1
dress,cargo,blazer,clear,1
t-shirt,cargo,hoodie,clear,1
dress,none,none,rain,1
t-shirt,cargo,hoodie,clear,1
dress,jogger,none,rain,1
t-shirt,cargo,hoodie,clear,1
t-shirt,shorts,none,snow,1
shirt,none,none,snow,1
dress,none,none,rain,1
shirt,jogger,none,snow,1
t-shirt,jeans,jacket,clear,1
dress,jeans,none,rain,1
shirt,shorts,blazer,clear,1
dress,shorts,none,snow,1
t-shirt,skirt,none,snow,1
dress,jogger,sweater,clear,1
dress,skirt,sweater,clear,1
t-shirt,jeans,hoodie,clear,1
dress,cargo,none,rain,1
t-shirt,cargo,none,rain,1
dress,trousers,none,snow,1
shirt,shorts,none,rain,1
dress,none,sweater,clear,1
dress,jeans,none,rain,1
t-shirt,shorts,none,rain,1
t-shirt,shorts,none,snow,1
shirt,legging,none,snow,1
t-shirt,skirt,none,snow,1
dress,shorts,none,clear,1
dress,jeans,none,rain,1
dress,jeans,none,rain,1
shirt,jeans,none,snow,1
dress,none,blazer,clear,1
t-shirt,cargo,none,rain,1
dress,trousers,sweater,clear,1
shirt,trousers,hoodie,clear,1
shirt,skirt,none,rain,1
dress,shorts,hoodie,clear,1
dress,cargo,sweater,clear,1
t-shirt,trousers,hoodie,clear,1
t-shirt,jeans,none,clear,1
dress,cargo,coat,clear,1
t-shirt,cargo,sweater,clear,1
shirt,trousers,hoodie,clear,1
t-shirt,jogger,none,rain,1
t-shirt,trousers,none,rain,1
t-shirt,skirt,none,clear,1
shirt,shorts,none,rain,1
shirt,skirt,none,snow,1
t-shirt,cargo,blazer,clear,1
t-shirt,legging,none,rain,1
t-shirt,shorts,none,clear,1
shirt,trousers,jacket,clear,1
shirt,none,blazer,clear,1
shirt,trousers,none,clear,1
shirt,shorts,hoodie,clear,1
t-shirt,cargo,none,rain,1
shirt,trousers,sweater,clear,1
dress,cargo,none,snow,1
t-shirt,skirt,none,snow,1
shirt,trousers,none,snow,1
shirt,shorts,coat,clear,1
t-shirt,skirt,hoodie,clear,1
t-shirt,jogger,none,snow,1
t-shirt,none,coat,clear,1
shirt,jogger,sweater,clear,1
dress,legging,blazer,clear,1
t-shirt,jeans,jacket,clear,1
shirt,skirt,none,clear,1
dress,trousers,none,rain,1
shirt,trousers,none,clear,1
shirt,skirt,none,rain,1
dress,trousers,none,snow,1
shirt,legging,hoodie,clear,1
shirt,none,none,snow,1
dress,none,sweater,clear,1
shirt,jeans,none,snow,1
t-shirt,legging,none,rain,1
t-shirt,shorts,none,clear,1
shirt,trousers,none,rain,1
t-shirt,legging,none,clear,1
t-shirt,skirt,none,snow,1
dress,legging,none,rain,1
shirt,jeans,none,clear,1
t-shirt,legging,none,rain,1
shirt,none,none,snow,1
t-shirt,trousers,none,snow,1
dress,shorts,hoodie,clear,1
shirt,cargo,blazer,clear,1
shirt,shorts,jacket,clear,1
shirt,none,none,clear,1
shirt,jogger,none,snow,1
shirt,shorts,jacket,clear,1
shirt,skirt,none,snow,1
shirt,jeans,none,snow,1
t-shirt,shorts,sweater,clear,1
t-shirt,trousers,none,rain,1
dress,skirt,none,rain,1
dress,jogger,hoodie,clear,1
shirt,jogger,blazer,clear,1
shirt,legging,jacket,clear,1
dress,jogger,jacket,clear,1
t-shirt,skirt,none,clear,1
shirt,skirt,none,snow,1
shirt,skirt,none,snow,1
dress,skirt,none,snow,1
dress,skirt,sweater,clear,1
dress,trousers,sweater,clear,1
t-shirt,jogger,jacket,clear,1
t-shirt,shorts,sweater,clear,1
shirt,jogger,none,snow,1
dress,trousers,none,snow,1
t-shirt,cargo,hoodie,clear,1
shirt,cargo,hoodie,clear,1
t-shirt,jeans,none,rain,1
shirt,cargo,hoodie,clear,1
shirt,trousers,none,clear,1
dress,cargo,hoodie,clear,1
dress,shorts,none,clear,1
shirt,jogger,sweater,clear,1
shirt,shorts,sweater,clear,1
t-shirt,skirt,none,snow,1
shirt,none,none,snow,1
dress,skirt,hoodie,clear,1
shirt,trousers,hoodie,clear,1
shirt,jeans,sweater,clear,1
dress,none,none,rain,1
dress,jeans,none,rain,1
shirt,jeans,jacket,clear,1
dress,trousers,none,snow,1
shirt,cargo,hoodie,clear,1
t-shirt,legging,blazer,clear,1
shirt,trousers,none,snow,1
shirt,cargo,hoodie,clear,1
t-shirt,legging,none,rain,1
dress,cargo,coat,clear,1
shirt,jogger,sweater,clear,1
dress,trousers,none,snow,1
t-shirt,legging,hoodie,clear,1
t-shirt,shorts,none,rain,1
shirt,legging,hoodie,clear,1
dress,jogger,hoodie,clear,1
t-shirt,jeans,none,rain,1
dress,shorts,none,clear,1
shirt,trousers,none,clear,1
dress,trousers,sweater,clear,1
t-shirt,cargo,jacket,clear,1
dress,skirt,none,rain,1
shirt,trousers,none,rain,1
t-shirt,legging,blazer,clear,1
shirt,skirt,none,snow,1
dress,shorts,none,snow,1
t-shirt,cargo,hoodie,clear,1
shirt,skirt,none,snow,1
dress,trousers,none,snow,1
t-shirt,cargo,sweater,clear,1
shirt,jeans,coat,clear,1
dress,shorts,none,snow,1
shirt,skirt,hoodie,clear,1
dress,jeans,none,snow,1
shirt,none,none,clear,1
dress,jogger,none,clear,1
t-shirt,legging,none,clear,1
shirt,none,none,snow,1
t-shirt,jeans,jacket,clear,1
dress,jogger,hoodie,clear,1
shirt,cargo,jacket,clear,1
t-shirt,shorts,none,clear,1
t-shirt,skirt,none,rain,1
shirt,legging,none,snow,1
dress,none,sweater,clear,1
dress,shorts,hoodie,clear,1
